V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
11381.76;4514.31;4702.66;3984.53;5678.88;3267.13;2908.84;2422.65;1788.75;1483.21;555.03;906.34;572.99;513.44;-112.56;427.69;104.30;266.51;478.53;498.67;804.52;2073.77;249.43;413.10;464.27;271.45;-283.07;236.70;-38.31;-257.40;654.59;-74.45;-40.62;323.46;-37.98;166.04;-368.23;40.71
4887.43;1677.18;1485.53;1577.68;2246.87;1143.39;1301.31;1253.27;743.31;501.01;262.75;139.01;457.25;-17.86;43.02;221.96;-6.16;354.07;118.17;158.28;260.69;747.56;200.30;110.27;483.80;-75.66;287.61;-84.06;-75.30;-60.70;339.20;-196.90;-87.75;-63.70;-44.54;-6.97;-179.84;176.06
6843.24;3179.04;3419.50;3033.27;3909.63;2594.54;1976.61;2230.69;1114.36;1272.07;508.53;330.80;762.41;66.37;299.92;-77.75;-49.37;236.70;270.86;271.08;533.86;1509.23;189.07;448.94;191.79;106.19;80.75;-140.68;-17.77;-178.00;501.63;174.79;177.04;132.64;44.00;-2.17;-210.36;212.16
4967.39;1789.82;1778.67;1221.02;2248.14;1424.72;1513.83;1057.10;574.04;798.14;-82.14;300.15;264.92;122.39;87.82;130.39;-26.53;247.35;503.37;160.73;356.54;690.31;91.75;25.75;-114.33;302.86;-147.26;-79.06;208.81;229.44;-112.48;-91.90;-30.33;113.55;-272.83;53.27;-74.02;-184.87
4429.90;1783.70;1626.66;1235.67;2058.52;999.36;1190.64;960.54;642.58;647.49;492.86;97.95;193.08;56.36;255.25;117.57;42.96;160.28;113.27;347.15;141.60;341.71;-48.23;63.70;-267.67;-26.55;-12.17;-113.43;-36.83;-120.58;808.70;-12.97;-88.56;256.06;303.56;202.12;230.74;217.79
12663.24;36340.64;59207.68;41656.07;30063.99;11228.25;7087.04;4629.54;2341.09;1493.63;559.98;419.41;500.90;173.31;-169.33;-15.71;136.98;258.67;525.06;377.11;487.61;874.52;98.59;268.72;228.39;48.67;114.78;11.44;129.63;-33.17;91.96;-49.65;-3.23;352.06;45.69;-48.22;-11.50;70.69
4441.76;1702.63;1586.34;1725.97;2679.03;1617.00;1772.99;1168.46;1093.10;745.03;125.93;-23.21;274.50;41.28;-47.12;190.86;141.97;43.78;455.63;363.31;238.14;912.00;5.39;-100.09;468.50;-29.26;87.47;-189.49;-147.52;257.01;371.36;-61.73;-1.19;414.74;-302.07;29.48;80.81;136.12
12149.01;37297.57;64303.05;43518.73;30844.41;11641.43;6729.50;4860.56;2352.28;1255.50;388.42;594.39;421.27;226.71;99.28;-19.61;-95.85;281.89;269.37;235.44;320.19;849.09;-56.02;161.23;-150.88;5.30;-19.72;-116.03;36.15;123.60;445.95;88.67;21.52;247.69;99.84;-225.17;-110.64;38.30
4499.97;1671.54;1932.08;1676.52;2153.24;1116.66;1251.82;970.01;730.69;687.84;13.13;441.59;406.32;37.96;128.38;-178.81;162.56;354.51;38.75;245.43;466.20;1026.00;-38.13;103.29;-64.39;234.58;-99.91;77.98;106.73;63.52;247.53;172.60;-106.21;17.88;-29.28;-20.67;-278.45;198.53
4564.69;1855.82;1954.23;1552.09;2355.50;1170.21;1399.48;1427.62;711.12;709.60;131.01;636.01;267.55;114.13;-12.61;-325.43;185.53;52.72;243.81;114.52;263.28;953.64;-30.30;496.75;493.15;124.96;-27.39;-137.64;158.93;-206.24;114.33;-205.59;-103.28;535.44;-36.87;-172.27;-215.93;117.72
4338.54;1530.19;1582.75;1486.86;2124.37;1322.97;909.31;1009.76;880.18;653.60;66.60;432.08;196.74;72.64;24.75;11.21;160.70;-80.07;303.80;152.61;91.80;899.26;-166.15;204.75;353.03;199.94;96.17;59.46;157.89;95.67;1.89;-80.36;-61.85;102.82;-291.27;-225.17;-283.12;132.70
