V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4009.12;1447.13;1818.94;1348.95;1868.69;1309.73;8808.88;139460.63;87893.89;47268.85;15389.95;7305.46;5970.48;1511.20;891.63;470.49;218.96;473.35;32038.79;471734.31;339237.47;244136.61;14343.81;40673.68;27990.54;19992.75;9042.51;3420.36;3247.23;2117.92;49.36;196.23;41.05;71.62;-89.65;173.74;-73.08;58.01
3654.56;2145.47;2259.34;1728.10;2407.47;1362.06;1093.00;829.45;675.46;538.60;699.56;361.23;143.35;-171.98;-142.94;75.98;23.02;184.33;368.46;311.56;406.02;1183.50;146.95;-53.06;449.93;223.82;175.25;-230.34;136.15;175.97;261.83;-259.77;-384.19;-71.30;-161.86;-545.18;-389.06;-273.63
3397.19;1165.97;1930.06;1124.57;2019.15;1366.31;8978.24;141902.56;91872.30;50351.41;15804.89;6997.82;6340.15;1637.50;678.68;429.98;186.88;1281.34;33227.37;487645.22;348656.81;254890.66;16058.40;41107.60;29616.38;20176.94;8528.04;3799.90;3745.97;2408.09;730.36;86.95;10.76;198.53;92.42;-44.21;-159.71;-222.19
3869.06;2006.91;1825.65;1964.34;2477.74;1362.84;1444.50;1002.75;974.78;658.43;216.38;184.40;214.20;241.29;210.03;234.62;9.62;223.31;310.73;414.92;565.15;1113.19;8.83;408.94;177.63;117.23;75.50;-82.58;4.48;73.69;290.46;-13.81;-87.67;176.88;-96.00;41.21;-127.91;154.76
4346.55;1564.50;1549.23;1109.92;2211.13;1124.38;1306.39;638.53;590.24;621.46;189.09;105.69;132.82;263.34;88.11;169.53;45.95;316.46;199.31;366.17;137.18;731.26;93.74;-15.84;-66.16;372.26;80.31;68.78;-75.94;78.97;494.44;37.73;458.59;140.20;-54.85;-70.45;175.26;-54.33
3596.53;1777.29;1689.88;1843.43;2090.55;1159.21;1168.94;986.05;924.39;686.87;445.51;125.74;424.73;351.80;65.02;-5.34;1.13;191.24;299.97;718.18;267.70;821.33;-51.40;-57.08;115.24;95.59;70.65;157.36;95.96;367.23;207.59;-124.43;-127.27;253.05;54.68;142.29;-0.61;658.87
4174.28;1681.92;1948.83;1908.27;2696.27;1581.42;9205.44;143075.77;91213.34;49521.31;14700.51;8186.42;6183.30;1696.72;1006.09;405.67;-135.94;883.97;32900.94;487092.84;347923.00;251368.88;15198.43;42535.53;28639.38;19519.60;8504.03;3771.53;3976.23;2009.69;640.13;290.07;258.58;377.16;574.70;-5.95;-39.77;554.44
3739.97;1442.95;1781.34;1713.67;2361.36;1513.28;9193.98;141649.02;90925.48;49093.76;14796.78;7553.57;5962.82;1789.62;837.86;283.76;194.38;1097.06;33489.23;489551.50;350920.25;254025.08;14964.98;42265.89;28841.26;18880.16;8765.56;3655.46;3732.39;2444.58;693.66;561.25;168.83;412.55;191.84;-111.46;-62.97;701.78
6325.07;3220.67;3694.77;3190.54;4388.08;2690.68;14843.29;241094.08;155114.67;82021.27;25702.40;12709.44;10604.61;2398.16;1543.74;542.53;345.02;1427.26;48179.03;735479.69;531048.31;384027.94;24235.36;62204.18;43015.45;31755.64;13739.51;6010.89;5971.28;3176.81;529.42;150.36;216.30;581.38;276.01;94.31;66.17;126.66
3968.26;1350.47;1579.41;1262.18;2245.47;1645.05;8988.58;136868.05;88874.37;48543.73;15328.00;7271.70;6446.39;1626.24;681.85;261.30;382.56;818.61;33284.03;472780.13;341729.63;248106.86;15557.45;43036.89;28933.25;18142.58;7796.27;3380.11;3454.89;2290.17;660.82;20.61;95.24;216.41;-70.72;-223.44;-315.04;-143.30
3785.03;1680.41;1307.43;1563.47;1922.46;1178.84;1080.98;796.27;573.82;556.84;40.68;70.89;168.22;52.87;6.85;69.96;-16.86;191.95;271.67;-9.31;193.81;851.60;-70.28;-62.46;7.76;-59.27;22.74;259.87;-97.12;-54.72;224.58;-107.94;122.08;164.82;115.47;-124.33;-126.69;-21.17
3916.09;1872.53;1767.00;1852.94;2604.96;1424.37;9557.81;153342.81;96826.35;53367.50;16344.38;8089.60;6577.96;1504.89;884.43;254.51;228.62;823.99;32949.23;477624.44;347109.19;248810.42;14950.04;44028.02;29109.56;18295.20;8051.55;3926.65;3717.54;2136.30;284.03;197.28;34.16;-67.92;116.62;-1.23;-102.71;-75.99
3739.03;1578.71;1866.80;1688.38;2192.62;1525.77;8995.05;137654.16;90361.13;48566.50;15712.37;7530.96;6356.02;1531.22;633.59;149.07;218.74;1236.59;32433.75;470584.09;337200.09;244845.86;15204.27;39623.96;27390.23;17968.59;8843.24;3685.75;3358.33;2058.07;529.88;303.12;135.44;294.98;327.72;330.92;266.26;290.23
4182.03;1713.82;1837.49;1790.72;2312.76;1163.11;1319.81;832.96;590.93;648.01;410.93;90.21;361.34;199.10;-142.51;-48.26;-47.90;356.76;421.16;738.38;716.36;889.68;32.20;-19.31;166.28;212.50;13.16;65.90;16.17;175.85;236.81;328.97;324.81;335.16;303.51;275.69;27.33;365.49
3912.24;1710.03;1963.49;1780.69;2358.43;1638.56;9642.90;151759.61;96649.16;53618.52;16684.88;8253.34;6829.47;1637.91;967.72;306.75;377.05;903.05;31127.36;446532.34;321090.91;234104.55;14486.46;39008.54;27000.78;17590.59;8005.87;2750.26;3539.27;1967.25;271.58;301.40;-180.57;116.72;57.86;-0.45;-141.13;171.45
4018.50;1944.22;2162.52;1928.98;2479.22;1458.24;1364.22;1109.29;818.03;643.05;399.40;165.64;55.81;360.98;-183.80;-96.11;97.71;20.26;400.86;259.50;846.94;513.73;25.54;78.31;-191.88;86.74;21.83;-80.14;4.56;-183.44;309.89;155.48;237.10;242.29;-48.00;-188.22;84.87;-37.32
