V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
4284.74;1688.42;1806.96;1633.14;2250.98;1134.59;1617.21;1256.82;505.24;735.36;520.12;384.14;416.31;178.08;375.04;140.07;169.71;234.58;164.79;117.74;149.25;737.56;72.68;-161.60;96.26;30.85;4.10;-105.07;-80.27;-36.81;187.91;-36.51;-10.17;59.07;-272.05;-134.21;-50.13;-93.09
12248.76;4857.04;4835.06;4779.87;6293.79;3542.58;3536.85;2922.39;1947.57;1761.21;3007.55;1228.07;2001.22;11022.42;43070.59;29442.42;275.61;263.61;173.75;519.91;909.26;2408.40;102.66;535.06;736.85;552.19;362.19;2166.26;8039.02;7635.55;21735.15;4310.77;3143.95;28534.06;36873.25;106986.88;219204.08;562633.81
4178.69;1421.43;1809.37;1622.24;2706.55;1339.27;1088.57;1095.09;650.96;785.21;602.22;322.20;368.50;225.22;145.98;174.51;195.98;268.89;211.14;129.82;-5.97;792.35;-117.42;-85.20;530.34;-24.12;-77.45;-197.73;-51.68;9.43;197.45;31.68;238.16;-56.96;-148.42;41.21;80.98;355.74
4232.10;1821.16;1528.44;1640.64;2372.04;1070.22;1301.01;806.44;728.58;629.42;543.97;380.12;120.53;295.53;158.25;153.05;-5.46;179.53;45.59;352.10;164.74;791.84;11.73;103.42;362.70;-31.21;-46.87;11.32;221.70;-27.81;190.64;-13.60;72.74;123.26;-469.13;54.70;-116.33;-17.46
4014.18;1608.68;2002.49;1439.90;2353.44;1305.44;1148.57;1092.16;612.11;640.50;464.96;420.80;220.94;-36.09;-48.18;85.55;198.58;106.90;388.58;367.12;64.47;743.31;11.28;243.28;-181.35;278.15;35.03;-81.26;206.49;175.89;-76.90;68.11;-115.10;46.60;55.18;-140.45;-352.11;255.32
5250.68;2591.75;2857.54;2122.61;2967.39;1979.92;1514.31;1685.24;1318.26;808.38;713.08;6.18;343.85;77.91;186.55;141.88;313.11;167.59;504.36;226.41;345.56;1151.13;349.65;311.18;61.62;172.56;232.38;-152.16;69.18;375.29;305.68;153.09;167.98;369.65;12.25;99.52;145.84;189.07
10471.76;12646.87;20395.11;21318.12;37968.79;25472.02;24902.60;23739.83;16751.82;13325.37;9070.91;5070.72;6105.38;2467.85;2174.75;1183.07;1350.89;3905.34;6894.77;7223.51;7885.79;10067.89;1012.71;3257.36;2568.38;3243.77;1204.89;1058.32;1131.93;854.61;1022.09;316.13;517.84;1125.92;613.54;525.79;396.30;1142.70
10343.14;3497.27;3523.20;3202.32;4487.88;2415.31;2329.49;1859.64;1367.70;1015.17;2398.96;601.86;1361.51;8346.75;32974.56;22943.98;305.61;282.37;322.88;444.74;565.47;1997.76;136.13;742.27;321.79;330.24;528.02;2328.86;7068.42;6791.46;18469.66;3783.94;3465.74;25196.76;31568.64;94418.59;191263.73;484068.97
5650.90;2949.20;3356.02;2912.06;3964.27;1953.23;1905.75;1770.27;1106.11;955.12;654.95;497.78;392.95;445.87;17.89;132.60;29.26;272.37;442.76;187.60;417.13;1242.39;161.85;329.22;166.91;176.14;94.54;6.64;-169.06;155.75;407.86;146.50;69.76;2.19;-140.29;-130.40;-76.35;295.25
4077.10;1745.21;1882.55;1442.03;1938.82;978.98;1216.91;753.19;532.81;602.65;977.37;340.96;756.62;3684.77;15209.40;10238.94;192.77;92.80;338.40;322.32;312.26;947.56;62.77;90.27;46.36;335.59;297.11;1375.37;3216.29;2619.14;9806.17;2552.38;1330.60;11205.88;14591.07;44857.55;87177.44;218147.66
16129.35;5552.40;5855.93;5099.55;7412.43;3747.83;3938.50;3355.80;2111.79;1930.68;2859.66;880.28;1989.06;8323.99;34811.53;23026.63;425.99;279.33;642.38;816.86;904.66;2608.31;600.21;266.57;860.58;292.42;815.71;2101.08;7598.14;6414.37;21084.72;3669.46;2497.60;24609.77;31361.09;91017.63;181496.83;460715.84
4694.30;1957.14;1471.32;1342.75;2299.89;1363.72;1161.25;1130.55;522.65;608.27;1181.92;342.17;574.28;3710.06;15979.88;9827.84;-27.44;-4.98;187.47;-111.62;203.97;1046.27;116.79;301.82;261.63;4.70;109.02;689.34;3563.05;2977.26;9480.14;2245.32;1092.26;10670.93;15058.75;42097.07;91286.69;227817.86
4603.02;1792.44;1976.65;1659.61;2531.90;1217.49;1309.30;1154.88;758.35;897.09;1478.89;483.73;882.64;4490.58;16151.70;11007.01;116.09;-4.62;83.52;436.71;384.42;964.09;111.67;-174.06;230.57;167.25;254.65;1311.27;3712.66;3552.84;10396.52;1709.34;1148.20;12944.87;16599.42;44287.11;89072.68;229151.88
4303.03;1985.90;1610.12;1442.78;2426.33;1419.20;950.47;871.83;532.77;616.67;1027.23;418.68;769.20;3544.40;15580.93;10854.72;142.06;24.93;276.66;327.50;456.86;827.91;-28.30;291.78;149.98;152.91;393.20;1089.93;2746.22;3125.22;8691.41;1652.31;1152.07;11944.89;15384.16;44969.70;89930.05;224748.56
