V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
3712.51;1433.05;1668.60;1279.71;2347.19;992.70;1340.43;1024.97;694.82;545.63;250.65;227.93;301.03;219.78;18.95;204.97;24.54;223.92;395.28;403.44;301.19;1094.15;202.56;1.14;235.84;157.17;88.38;46.29;51.60;457.50;203.17;226.40;69.93;221.20;-49.77;150.00;275.96;168.02
4166.23;1461.86;1605.47;1543.63;2019.85;1042.08;1325.93;1182.18;761.85;604.71;170.10;52.00;120.28;-83.72;-64.81;-61.64;53.58;-6.30;206.87;295.86;530.26;988.93;115.48;436.30;277.52;158.05;-13.52;-59.06;-185.67;-22.29;585.13;-63.91;74.40;380.53;56.74;46.95;269.45;-44.67
3803.23;1694.10;1651.01;1658.17;2399.38;1517.84;1092.78;1021.95;598.63;592.80;425.57;281.05;494.44;263.14;233.12;-15.67;130.78;-50.03;404.01;-43.53;499.28;978.74;-83.23;-10.91;5.95;240.64;91.16;-34.17;-3.88;-26.28;710.18;-31.85;31.56;208.32;-388.59;-114.65;-236.92;-263.27
3626.72;1359.60;1774.81;1663.75;2436.66;1345.76;1170.63;1151.46;690.50;485.27;285.65;309.36;280.33;220.48;95.98;158.80;259.10;49.46;431.06;334.44;450.21;957.15;312.06;78.13;368.74;156.49;31.69;101.91;-6.53;170.73;696.73;192.37;-90.86;-54.32;-315.43;231.03;167.40;289.42
3782.80;1726.35;1774.15;1446.39;2220.62;1368.89;1348.68;1202.87;807.40;472.04;493.34;293.37;108.08;80.49;225.59;-199.70;126.93;219.78;349.15;390.55;447.66;868.90;13.49;476.66;193.25;158.96;90.37;116.87;117.90;218.80;822.24;-160.85;-99.15;132.32;244.21;-36.99;45.34;357.74
3717.74;1307.50;1855.74;1598.22;2122.84;923.68;1054.88;787.81;575.59;629.90;233.90;-53.25;202.41;200.96;209.52;-124.64;310.99;105.00;295.65;179.93;631.03;1030.47;174.85;156.57;215.27;161.83;175.01;142.96;-37.27;234.36;629.62;-101.26;-215.75;-0.81;40.08;-50.77;-173.41;72.73
3845.46;1421.60;1770.20;1714.81;2388.66;1607.10;1201.24;873.06;748.20;591.39;355.48;93.54;19.20;173.89;301.57;171.53;216.44;-203.79;136.22;360.59;-20.50;731.86;30.21;-19.54;-6.40;125.08;-56.89;52.17;73.86;115.93;440.45;113.94;3.15;484.86;-33.57;43.47;106.76;217.75
4142.76;1558.17;1741.16;1838.85;2363.07;1464.33;1341.56;1234.91;820.19;306.75;345.62;288.96;476.37;-12.87;58.04;49.46;0.61;157.24;328.10;43.71;227.61;692.18;53.80;-110.82;222.99;-30.97;127.11;-75.98;329.55;-228.03;183.83;53.93;52.41;128.82;55.26;-81.07;23.94;80.77
4267.01;1829.95;1849.43;1832.84;2366.70;1521.52;1102.68;1298.68;615.48;478.55;315.49;146.19;384.62;124.72;-30.12;-57.10;29.78;132.93;219.87;0.91;333.44;892.83;127.84;208.95;279.61;-265.87;242.96;1.40;110.41;342.08;-102.93;-253.93;129.57;-120.66;97.20;-145.08;-129.14;-347.22
4644.87;2363.85;2052.76;1660.04;2804.72;1671.12;1835.59;876.43;969.12;602.91;575.05;159.15;332.56;49.01;205.84;8.80;177.99;150.85;335.34;46.98;341.37;834.85;93.47;167.81;710.83;-43.41;257.59;159.40;284.55;97.70;-109.91;-124.85;40.50;81.78;-201.86;-212.13;-253.49;-137.88
3938.92;1830.42;1851.05;1360.37;2514.66;1523.27;1380.72;1132.22;876.59;768.77;329.31;340.05;364.59;327.22;190.36;198.62;186.06;308.58;316.58;240.35;339.28;619.73;163.21;184.02;228.62;202.21;-48.62;125.03;-163.94;-22.84;258.30;55.06;376.41;227.34;203.39;143.73;151.69;171.65
3807.60;1372.00;1468.95;1402.44;1806.88;1142.87;1087.79;746.22;537.82;717.82;324.70;348.26;501.61;240.42;48.52;-185.08;-233.09;-16.91;309.15;212.88;413.35;1076.62;-259.30;193.70;469.22;39.50;107.19;280.04;2.28;163.49;536.48;-102.44;-10.08;63.01;84.04;4.47;86.50;41.57
3912.02;1765.96;1877.90;1715.42;2508.19;1319.90;975.00;959.10;722.18;348.65;421.40;448.07;391.70;103.00;158.97;400.77;192.69;125.26;389.43;411.29;396.41;812.57;236.75;311.32;209.23;35.91;42.82;86.06;115.25;8.80;113.99;-148.85;-37.13;-35.79;-316.55;-348.23;-274.12;-236.84
3451.71;1699.40;1941.20;1333.73;2252.25;1047.52;888.03;1105.96;490.67;524.09;326.68;132.27;427.10;-16.61;416.16;134.49;243.06;167.24;141.21;235.13;233.99;772.67;78.12;81.87;-28.70;182.12;-198.67;293.88;268.82;102.94;610.53;138.15;60.66;184.03;-72.50;32.52;250.83;603.96
3974.90;1661.60;1937.25;1892.35;2499.13;1213.42;1132.60;893.66;568.98;638.17;645.87;266.61;277.50;-24.00;-83.21;136.14;83.01;180.54;191.88;154.19;392.62;1059.55;57.33;340.32;-32.01;129.75;251.11;-71.70;125.58;126.45;305.64;7.55;-30.58;-123.42;-106.15;-289.34;-85.07;-24.23
3973.87;1581.85;1458.82;1649.10;2112.51;1130.95;1138.81;992.05;667.82;408.43;197.18;181.59;282.16;16.07;175.42;-59.91;197.37;69.90;189.45;50.84;144.33;1042.25;0.14;249.27;259.09;86.06;-86.00;-48.05;-28.70;90.78;599.09;-79.06;71.38;-160.96;53.36;-209.58;128.08;220.03
